id;photo;photo_content_type;cnib;nom;prenom;statut;contact;email;salaire_horaire;salaire_mensuel
1;../fake-data/blob/hipster.png;image/png;Savings Account client-server Grocery;payment;Nepal Assurance calculate;Industrial Agent;Switzerland Shoes withdrawal;Hershel.Hintz@yahoo.com;75370;82767
2;../fake-data/blob/hipster.png;image/png;driver Licensed;plug-and-play indexing synthesizing;Cotton;navigating;Fresh HDD;Augustine_Klocko93@yahoo.com;55830;16330
3;../fake-data/blob/hipster.png;image/png;best-of-breed;installation Checking Account;Roads COM;niches yellow radical;connecting Outdoors Tools;Arianna49@gmail.com;80456;85407
4;../fake-data/blob/hipster.png;image/png;Utah client-driven azure;Minnesota microchip;synthesize Kenya;Wooden;programming;Catharine96@yahoo.com;95919;94211
5;../fake-data/blob/hipster.png;image/png;Alabama;Svalbard & Jan Mayen Islands mobile Borders;transmitter Paradigm Nakfa;programming lavender;deposit programming;Neoma.Schneider22@hotmail.com;22787;76826
6;../fake-data/blob/hipster.png;image/png;e-business USB;cross-platform AGP mobile;indexing Berkshire;Palau visualize;evolve orange teal;Reggie84@gmail.com;99271;39917
7;../fake-data/blob/hipster.png;image/png;Enhanced;Pizza gold;sky blue Team-oriented Fresh;Optional 24/365 New Jersey;Checking Account;Odell_Olson46@hotmail.com;10931;79532
8;../fake-data/blob/hipster.png;image/png;deposit capability Reduced;haptic Team-oriented back up;Refined Metal Ball Trace;Norwegian Krone Shoes navigating;Baby payment;Dena82@yahoo.com;45029;88781
9;../fake-data/blob/hipster.png;image/png;Implementation open-source violet;customized quantifying;proactive Enterprise-wide Motorway;Personal Loan Account Personal Loan Account Credit Card Account;supply-chains redundant pixel;Isac_Kiehn@gmail.com;52432;97856
10;../fake-data/blob/hipster.png;image/png;artificial intelligence;program invoice Designer;Ergonomic;lavender West Virginia;Health even-keeled;Angus_Romaguera@yahoo.com;52731;93991
